id,race_id,horse_number,horse_name
1,29,1,ウイングレイテスト
2,29,2,エランティス
3,29,3,カフジテトラゴン
4,29,4,カルロヴェローチェ
5,29,5,キタノブレイド
6,29,6,クムシラコ
7,29,7,コラソンビート
8,29,8,ショウナンハクラク
9,29,9,シロン
10,29,10,スコーピオン
11,29,11,テイエムスパーダ
12,29,12,デュガ
13,29,13,ニシノコニャック
14,29,14,ニシノトキメキ
15,29,15,ピューロマジック
16,29,16,ファロロジー
17,29,17,ブーケファロス
18,29,18,モズメイメイ
19,30,1,アウスヴァール
20,30,2,アラタ
21,30,3,アルナシーム
22,30,4,ヴェローチェエラ
23,30,5,オールナット
24,30,6,ケイアイセナ
25,30,7,コスモキュランダ
26,30,8,シュヴァリエローズ
27,30,9,シュトルーヴェ
28,30,10,ショウナンアデイブ
29,30,11,ステレンボッシュ
30,30,12,トップナイフ
31,30,13,ハヤテノフクノスケ
32,30,14,ボーンディスウェイ
33,30,15,リビアングラス
34,31,1,ウインカーネリアン
35,31,2,エトヴプレ
36,31,3,エーティーマクフィ
37,31,4,カルプスペルシュ
38,31,5,カルロヴェローチェ
39,31,6,クファシル
40,31,7,ジョーメッドヴィン
41,31,8,ゾンニッヒ
42,31,9,ツインクルトーズ
43,31,10,ナムラクララ
44,31,11,パンジャタワー
45,31,12,フィオライア
46,31,13,プルパレイ
47,31,14,ペアポルックス
48,31,15,モリノドリーム
49,31,16,レイピア
50,32,1,アブキールベイ
51,32,2,ウイングレイテスト
52,32,3,エコロジーク
53,32,4,カルチャーデイ
54,32,5,カンチェンジュンガ
55,32,6,グランテスト
56,32,7,ジャスティンスカイ
57,32,8,ショウナンザナドゥ
58,32,9,テイエムスパーダ
59,32,10,ティニア
60,32,11,トウシンマカオ
61,32,12,ママコチャ
62,32,13,モズメイメイ
63,32,14,ヨシノイースター
64,32,15,レッドアヴァンティ
65,32,16,ワンダーキサラ
66,33,1,アイサンサン
67,33,2,ウィルサヴァイブ
68,33,3,ヴーレヴー
69,33,4,エリーナストーム
70,33,5,カムニャック
71,33,6,コンドゥイア
72,33,7,ジェルブロア
73,33,8,セナスタイル
74,33,9,タイセイプランセス
75,33,10,タガノアビー
76,33,11,ダンツエラン
77,33,12,チェルビアット
78,33,13,テレサ
79,33,14,パラディレーヌ
80,33,15,ビップデイジー
81,33,16,フェアリーライク
82,33,17,マトラコーニッシュ
83,33,18,ミッキージュエリー
84,33,19,ミッキーマドンナ
85,33,20,ランフォーヴァウ
86,33,21,ルージュソリテール
87,34,1,アルマデオロ
88,34,2,エリキング
89,34,3,サンライズバブル
90,34,4,ジョイボーイ
91,34,5,ショウヘイ
92,34,6,ジョバンニ
93,34,7,デルアヴァー
94,34,8,パッションリッチ
95,34,9,ボンドロア
96,34,10,マイユニバース
97,34,11,ライトトラック
98,34,12,レイデラティエラ
99,35,1,クロミナンス
100,35,2,コスモキュランダ
101,35,3,シュバルツクーゲル
102,35,4,ドゥラドーレス
103,35,5,フェアエールング
104,35,6,ホーエリート
105,35,7,ヨーホーレイク
106,35,8,リカンカブール
107,35,9,リビアングラス
108,35,10,レガレイラ
109,35,11,ワイドエンペラー
110,2,1,アスクワンタイム
111,2,2,ウインカーネリアン
112,2,3,カピリナ
113,2,4,カンチェンジュンガ
114,2,5,サトノレーヴ
115,2,6,ジューンブレア
116,2,7,ダノンマッキンリー
117,2,8,トウシンマカオ
118,2,9,ドロップオブライト
119,2,10,ナムラクレア
120,2,11,ピューロマジック
121,2,12,ペアポルックス
122,2,13,ママコチャ
123,2,14,ヤマニンアルリフラ
124,2,15,ヨシノイースター
125,2,16,ラッキースワイネス
126,2,17,ルガル
127,3,1,ロングラン
128,3,2,エルトンバローズ
129,3,3,ディマイザキッド
130,3,4,ラファドゥラ
131,3,5,ジェイパームス
132,3,6,チェルヴィニア
133,3,7,シルトホルン
134,3,8,ホウオウビスケッツ
135,3,9,レーベンスティール
136,3,10,サトノシャイニング
137,3,11,シリウスコルト
138,5,1,アドマイヤマツリ
139,5,2,アンゴラブラック
140,5,3,アンリーロード
141,5,4,エープラス
142,5,5,カナテープ
143,5,6,キャットファイト
144,5,7,サフィラ
145,5,8,セキトバイースト
146,5,9,セフィロ
147,5,10,ドゥアイズ
148,5,11,ピースオブザライフ
