id,race_id,horse_number,horse_name
1,29,1,スコーピオン
2,29,2,ニシノコニャック
3,29,3,カフジテトラゴン
4,29,4,シロン
5,29,5,クムシラコ
6,29,6,ピューロマジック
7,29,7,ショウナンハクラク
8,29,8,コラソンビート
9,29,9,ニシノトキメキ
10,29,10,ウイングレイテスト
11,29,11,エランティス
12,29,12,ファロロジー
13,29,13,テイエムスパーダ
14,29,14,キタノブレイド
15,29,15,ブーケファロス
16,29,16,カルロヴェローチェ
17,29,17,デュガ
18,29,18,モズメイメイ
19,30,1,リビアングラス
20,30,2,ボーンディスウェイ
21,30,3,シュトルーヴェ
22,30,4,コスモキュランダ
23,30,5,ホウオウビスケッツ
24,30,6,ケイアイセナ
25,30,7,ハヤテノフクノスケ
26,30,8,ステレンボッシュ
27,30,9,トップナイフ
28,30,10,ヴェローチェエラ
29,30,11,ショウナンアデイブ
30,30,12,アルナシーム
31,30,13,アウスヴァール
32,30,14,アラタ
33,30,15,ココナッツブラウン
34,30,16,シュヴァリエローズ
35,31,1,ツインクルトーズ
36,31,2,エトヴプレ
37,31,3,レイピア
38,31,4,エーティーマクフィ
39,31,5,パンジャタワー
40,31,6,ペアポルックス
41,31,7,クファシル
42,31,8,ゾンニッヒ
43,31,9,モリノドリーム
44,31,10,ウインカーネリアン
45,31,11,プルパレイ
46,31,12,フィオライア
47,31,13,ジョーメッドヴィン
48,31,14,カルロヴェローチェ
49,31,15,ナムラクララ
50,31,16,カルプスペルシュ
51,32,1,ショウナンザナドゥ
52,32,2,テイエムスパーダ
53,32,3,ママコチャ
54,32,4,エコロジーク
55,32,5,ヨシノイースター
56,32,6,アブキールベイ
57,32,7,カンチェンジュンガ
58,32,8,レッドアヴァンティ
59,32,9,ジャスティンスカイ
60,32,10,ウイングレイテスト
61,32,11,ワンダーキサラ
62,32,12,ティニア
63,32,13,カルチャーデイ
64,32,14,トウシンマカオ
65,32,15,モズメイメイ
66,32,16,グランテスト
67,33,1,ルージュソリテール
68,33,2,ミッキーマドンナ
69,33,3,ダンツエラン
70,33,4,フェアリーライク
71,33,5,パラディレーヌ
72,33,6,ヴーレヴー
73,33,7,ミッキージュエリー
74,33,8,チェルビアット
75,33,9,タガノアビー
76,33,10,テレサ
77,33,11,カムニャック
78,33,12,マトラコーニッシュ
79,33,13,アイサンサン
80,33,14,セナスタイル
81,33,15,タイセイプランセス
82,33,16,コンドゥイア
83,33,17,ランフォーヴァウ
84,33,18,ビップデイジー
85,34,1,ライトトラック
86,34,2,ジョバンニ
87,34,3,アルマデオロ
88,34,4,ジョイボーイ
89,34,5,ショウヘイ
90,34,6,サンライズバブル
91,34,7,ボンドロア
92,34,8,パッションリッチ
93,34,9,デルアヴァー
94,34,10,エリキング
95,35,1,コスモキュランダ
96,35,2,リビアングラス
97,35,3,クロミナンス
98,35,4,レガレイラ
99,35,5,ホーエリート
100,35,6,シュバルツクーゲル
101,35,7,ヨーホーレイク
102,35,8,リカンカブール
103,35,9,ドゥラドーレス
104,35,10,フェアエールング
105,35,11,ワイドエンペラー
106,2,1,ピューロマジック
107,2,2,ヨシノイースター
108,2,3,ダノンマッキンリー
109,2,4,ママコチャ
110,2,5,カンチェンジュンガ
111,2,6,ナムラクレア
112,2,7,サトノレーヴ
113,2,8,ペアポルックス
114,2,9,ドロップオブライト
115,2,10,ラッキースワイネス
116,2,11,トウシンマカオ
117,2,12,ヤマニンアルリフラ
118,2,13,ジューンブレア
119,2,14,カピリナ
120,2,15,ルガル
121,2,16,ウインカーネリアン
122,3,1,ロングラン
123,3,2,エルトンバローズ
124,3,3,ディマイザキッド
125,3,4,ラファドゥラ
126,3,5,ジェイパームス
127,3,6,チェルヴィニア
128,3,7,シルトホルン
129,3,8,ホウオウビスケッツ
130,3,9,レーベンスティール
131,3,10,サトノシャイニング
132,3,11,シリウスコルト
133,4,1,サンライズソレイユ
134,4,2,カネフラ
135,4,3,ディープモンスター
136,4,4,アドマイヤテラ
137,4,5,サンライズアース
138,4,6,プラダリア
139,4,7,ドゥレッツア
140,4,8,ヴェルミセル
141,4,9,ミクソロジー
142,4,10,ブレイヴロッカー
143,4,11,ヴェルテンベルク
144,4,12,ワープスピード
145,4,13,メイショウブレゲ
146,4,14,サブマリーナ
147,4,15,ジューンテイク
148,4,16,ボルドグフーシュ
149,4,17,アルナシーム
150,4,18,ショウナンラプンタ
151,5,1,アドマイヤマツリ
152,5,2,アンゴラブラック
153,5,3,キャットファイト
154,5,4,フィールシンパシー
155,5,5,リラボニート
156,5,6,セフィロ
157,5,7,カナテープ
158,5,8,ボンドガール
159,5,9,ピースオブザライフ
160,5,10,ライラック
161,5,11,セキトバイースト
162,5,12,ドゥアイズ
163,5,13,サフィラ
164,5,14,ホウオウラスカーズ
165,5,15,ラヴァンダ
166,5,16,アンリーロード
167,6,1,ダノンフェアレディ
168,6,2,ルージュソリテール
169,6,3,ジョスラン
170,6,4,レーゼドラマ
171,6,5,ブラウンラチェット
172,6,6,ケリフレッドアスク
173,6,7,クリノメイ
174,6,8,テレサ
175,6,9,マピュース
176,6,10,エリカエクスプレス
177,6,11,エンブロイダリー
178,6,12,ヴーレヴー
179,6,13,セナスタイル
180,6,14,ビップデイジー
181,6,15,インヴォーグ
182,6,16,ランフォーヴァウ
183,6,17,カムニャック
184,6,18,パラディレーヌ
185,7,1,コーチェラバレー
186,7,2,アマキヒ
187,7,3,ライトトラック
188,7,4,ヤマニンブークリエ
189,7,5,ジョバンニ
190,7,6,ミラージュナイト
191,7,7,ショウヘイ
192,7,8,レクスノヴァス
193,7,9,エネルジコ
194,7,10,ジーティーアマダン
195,7,11,マイユニバース
196,7,12,ゲルチュタール
197,7,13,アロンディ
198,7,14,エキサイトバイオ
199,7,15,エリキング
200,7,16,ラーシャローム
201,7,17,レイヤードレッド
202,7,18,レッドバンデ
203,8,1,コスモキュランダ
204,8,2,アーバンシック
205,8,3,ジャスティンパレス
206,8,4,ソールオリエンス
207,8,5,タスティエーラ
208,8,6,ブレイディヴェーグ
209,8,7,マスカレードボール
210,8,8,ホウオウビスケッツ
211,8,9,ミュージアムマイル
212,8,10,エコロヴァルツ
213,8,11,シランケド
214,8,12,セイウンハーデス
215,8,13,メイショウタバル
216,8,14,クィーンズウォーク
217,9,1,ワイドエンペラー
218,9,2,ギャラクシーナイト
219,9,3,ローシャムパーク
220,9,4,サスツルギ
221,9,5,セレシオン
222,9,6,ディマイザキッド
223,9,7,シュトルーヴェ
224,9,8,ボーンディスウェイ
225,9,9,ショウナンアデイブ
226,9,10,マイネルカンパーナ
227,9,11,ホーエリート
228,9,12,プラダリア
229,9,13,ミステリーウェイ
230,9,14,ボルドグフーシュ
231,9,15,メイショウブレゲ
232,9,16,ニシノレヴナント
233,9,17,ハギノアルデバラン
234,9,18,スティンガーグラス
235,10,1,パラディレーヌ
236,10,2,ステレンボッシュ
237,10,3,シンリョクカ
238,10,4,カナテープ
239,10,5,サフィラ
240,10,6,エリカエクスプレス
241,10,7,レガレイラ
242,10,8,ヴェルミセル
243,10,9,ボンドガール
244,10,10,セキトバイースト
245,10,11,フェアエールング
246,10,12,ライラック
247,10,13,ココナッツブラウン
248,10,14,ケリフレッドアスク
249,10,15,オーロラエックス
250,10,16,リンクスティップ
251,11,1,トウシンマカオ
252,11,2,シャンパンカラー
253,11,3,ウォーターリヒト
254,11,4,マジックサンズ
255,11,5,アスコリピチェーノ
256,11,6,ガイアフォース
257,11,7,チェルヴィニア
258,11,8,カンチェンジュンガ
259,11,9,エルトンバローズ
260,11,10,ラヴァンダ
261,11,11,オフトレイル
262,11,12,ウインマーベル
263,11,13,ロングラン
264,11,14,レーベンスティール
265,11,15,ジャンタルマンタル
266,11,16,ドックランズ
267,11,17,ソウルラッシュ
268,11,18,ワイドラトゥール
269,12,1,ジャスティンパレス
270,12,2,クロワデュノール
271,12,3,コスモキュランダ
272,12,4,ディープモンスター
273,12,5,サンライズアース
274,12,6,ホウオウビスケッツ
275,12,7,ダノンベルーガ
276,12,8,カランダガン
277,12,9,セイウンハーデス
278,12,10,シュトルーヴェ
279,12,11,アドマイヤテラ
280,12,12,ヨーホーレイク
281,12,13,ブレイディヴェーグ
282,12,14,ダノンデサイル
283,12,15,マスカレードボール
284,12,16,シンエンペラー
285,12,17,ドゥレッツァ
286,12,18,タスティエーラ
287,13,1,ウィリアムバローズ
288,13,2,ダブルハートボンド
289,13,3,メイショウハリオ
290,13,4,セラフィックコール
291,13,5,ヘリオス
292,13,6,ハギノアレグリアス
293,13,7,ラムジェット
294,13,8,ウィルソンテソーロ
295,13,9,アウトレンジ
296,13,10,テンカジョウ
297,13,11,シックスペンス
298,13,12,ナルカミ
299,13,13,サンライズジパング
300,13,14,ペプチドナイル
301,13,15,ペリエール
302,13,16,ルクソールカフェ
303,14,1,アンヘリータス
304,14,2,レディーゴール
305,14,3,ミツカネベネラ
306,14,4,アランカール
307,14,5,ギャラボーグ
308,14,6,アルバンヌ
309,14,7,マーゴットラヴミー
310,14,8,ヒズマスターピース
311,14,9,スターアニス
312,14,10,イヌボウノウタゴエ
313,14,11,スウィートハピネス
314,14,12,メイプルハッピー
315,14,13,フロムレイブン
316,14,14,スタニングレディ
317,14,15,ラスティングスノー
318,14,16,ローズカリス
319,14,17,タイセイボーグ
320,14,18,ショウナンカリス
321,15,1,グッドピース
322,15,2,ホワイトオーキッド
323,15,3,エコロアルバ
324,15,4,コスモレッド
325,15,5,ストームサンダー
326,15,6,タガノアラリア
327,15,7,コルテオソレイユ
328,15,8,カヴァレリッツォ
329,15,9,スぺルーチェ
330,15,10,ダイヤモンドノット
331,15,11,カクウチ
332,15,12,アドマイヤクワッズ
333,15,13,リアライズシリウス
334,15,14,レッドリガーレ
335,17,1,エキサイトバイオ
336,17,2,シンエンペラー
337,17,3,ジャスティンパレス
338,17,4,ミュージアムマイル
339,17,5,レガレイラ
340,17,6,メイショウタバル
341,17,7,サンライズジパング
342,17,8,シュヴァリエローズ
343,17,9,ダノンデサイル
344,17,10,コスモキュランダ
345,17,11,ミステリーウェイ
346,17,12,マイネルエンペラー
347,17,13,アドマイヤテラ
348,17,14,アラタ
349,17,15,エルトンバローズ
350,17,16,タスティエーラ
351,16,1,ノチェセラーダ
352,16,2,アーレムアレス
353,16,3,ジャスティンビスタ
354,16,4,ロブチェン
355,16,5,ノーウェアマン
356,16,6,バドリナート
357,16,7,テーオーアルアイン
358,16,8,マテンロウゼロ
359,16,9,メイショウハチコウ
360,16,10,ウイナーズナイン
361,16,11,フォルテアンジェロ
362,16,12,アンドゥーリル
363,16,13,ショウナンガルフ
364,16,14,ジーネキング
365,16,15,アスクエジンバラ
366,16,16,オルフセン
367,39,1,パンジャタワー
368,39,2,ビッグシーザー
369,39,3,エーティーマクフィ
370,39,4,ダノンマッキンリー
371,39,5,ヤマニンアルリフラ
372,39,6,レッドモンレーヴ
373,39,7,ヨシノイースター
374,39,8,ウインカーネリアン
375,39,9,サトノレーヴ
376,39,10,ママコチャ
377,39,11,ララマセラシオン
378,39,12,ピューロマジック
379,39,13,ナムラクレア
380,39,14,レイピア
381,39,15,インビジブルパパ
382,39,16,フィオライア
383,39,17,ペアポルックス
384,39,18,ジューンブレア
385,40,1,サンストックトン
386,40,2,マテンロウレオ
387,40,3,セイウンハーデス
388,40,4,ダノンデサイル
389,40,5,ショウヘイ
390,40,6,メイショウタバル
391,40,7,エコロディノス
392,40,8,エコロヴァルツ
393,40,9,ヨーホーレイク
394,40,10,ボルドグフーシュ
395,40,11,デビットバローズ
396,40,12,レーベンスティール
397,40,13,ファウストラーゼン
398,40,14,タガノデュード
399,40,15,クロワデュノール
400,41,1,フェスティバルヒル
401,41,2,サンアントワーヌ
402,41,3,ディアダイヤモンド
403,41,4,エレガンスアスク
404,41,5,ギャラボーグ
405,41,6,アイニードユー
406,41,7,アランカール
407,41,8,ロンギングセリーヌ
408,41,9,ルールザウェイヴ
409,41,10,ナムラコスモス
410,41,11,ジッピーチューン
411,41,12,スウィートハピネス
412,41,13,リリージョワ
413,41,14,ドリームコア
414,41,15,スターアニス
415,41,16,ショウナンカリス
416,41,17,ブラックチャリス
417,41,18,プレセビオ
418,42,1,カヴァレリッツォ
419,42,2,サウンドムーブ
420,42,3,サノノグレーター
421,42,4,ロブチェン
422,42,5,アスクエジンバラ
423,42,6,フォルテアンジェロ
424,42,7,ロードフィール
425,42,8,マテンロウゲイル
426,42,9,ライヒスアドラー
427,42,10,ラージアンサンブル
428,42,11,パントルナイーフ
429,42,12,グリーンエナジー
430,42,13,アクロフェイズ
431,42,14,ゾロアストロ
432,42,15,リアライズシリウス
433,42,16,アルトラムス
434,42,17,アドマイヤクワッズ
435,42,18,バステール
436,43,1,ヴェルミセル
437,43,2,サンライズソレイユ
438,43,3,アドマイヤテラ
439,43,4,アクアヴァーナル
440,43,5,ケイアイサンデラ
441,43,6,エヒト
442,43,7,クロワデュノール
443,43,8,シンエンペラー
444,43,9,プレシャスデイ
445,43,10,マイネルカンパーナ
446,43,11,タガノデュード
447,43,12,ヘデントール
448,43,13,ミステリーウェイ
449,43,14,ホーエリート
450,43,15,ヴェルテンベルク
451,44,1,リゾートアイランド
452,44,2,ユウファラオ
453,44,3,オルネーロ
454,44,4,カヴァレリッツォ
455,44,5,ギリーズボール
456,44,6,ジーネキング
457,44,7,ダイヤモンドノット
458,44,8,ローベルクランツ
459,44,9,サンダーストラック
460,44,10,エコロアルバ
461,44,11,アドマイヤクワッズ
462,44,12,アンドゥーリル
463,44,13,ハッピーエンジェル
464,44,14,バルセシート
465,44,15,レザベーション
466,44,16,アスクイキゴミ
467,44,17,ロデオドライブ
468,44,18,フクチャンショウ
469,45,1,カピリナ
470,45,2,ワイドラトゥール
471,45,3,マピュース
472,45,4,エリカエクスプレス
473,45,5,ケリフレッドアスク
474,45,6,ラヴァンダ
475,45,7,クイーンズウォーク
476,45,8,カムニャック
477,45,9,ココナッツブラウン
478,45,10,ドロップオブライト
479,45,11,ボンドガール
480,45,12,エンブロイダリー
481,45,13,カナテープ
482,45,14,ジョスラン
483,45,15,アイサンサン
484,45,16,ニシノティアモ
485,45,17,パラディレーヌ
486,45,18,チェルヴィニア
