race_id,first_place,second_place,third_place,fourth_place,fifth_place,odds_first,odds_second,odds_third
2,ウインカーネリアン,ジューンブレア,ナムラクレア,サトノレーヴ,ヨシノイースター,50.0,20.2,5.7
3,レーベンスティール,ホウオウビスケッツ,サトノシャイニング,ディマイザキッド,エルトンバローズ,7.7,4.3,2.4
4,ディープモンスター,サンライズアース,ヴェルミセル,アドマイヤテラ,ショウナンラプンタ,11.3,5.3,90.8
5,ラヴァンダ,アンゴラブラック,カナテープ,ライラック,セフィロ,7.0,13.2,7.2
6,エンブロイダリー,エリカエクスプレス,パラディレーヌ,ジョスラン,セナスタイル,5.5,15.1,16.9
7,エネルジコ,エリキング,エキサイトバイオ,ゲルチュタール,レッドバンデ,3.8,4.3,82.6
8,マスカレードボール,ミュージアムマイル,ジャスティンパレス,シランケド,アーバンシック,2.7,7.4,20.4
9,ミステリーウェイ,スティンガーグラス,ディマイザキッド,セレシオン,シュトルーヴェ,27.7,3.4,5.4
10,レガレイラ,パラディレーヌ,ライラック,リンクスティップ,ココナッツブラウン,2.3,10.0,32.7
11,ジャンタルマンタル,ガイアフォース,ウォーターリヒト,オフトレイル,エルトンバローズ,1.8,8.6,130.2
12,カランダガン,マスカレードボール,ダノンデサイル,クロワデュノール,ジャスティンパレス,6.2,2.5,5.0
13,ダブルハートボンド,ウィルソンテソーロ,ラムジェット,メイショウハリオ,アウトレンジ,7.3,7.3,12.8
14,スターアニス,ギャラボーグ,タイセイボーグ,スウィートハピネス,アランカール,5.0,7.2,11.5
15,カヴァレリッツォ,ダイヤモンドノット,アドマイヤクワッズ,エコロアルバ,リアライズシリウス,3.6,8.3,3.1
16,ロブチェン,フォルテアンジェロ,アスクエジンバラ,アーレムアレス,バドリナート,19.8,6.4,32.9
17,ミュージアムマイル,コスモキュランダ,ダノンデサイル,レガレイラ,サンライズジパング,3.8,111.5,3.8
29,ピューロマジック,テイエムスパーダ,ウイングレイテスト,カルロヴェローチェ,デュガ,4.6,3.7,24.5
30,トップナイフ,ココナッツブラウン,アラタ,ケイアイセナ,ヴェローチェエラ,25.6,5.0,134.5
31,パンジャタワー,ペアポルックス,カルプスペルシュ,ナムラクララ,ウインカーネリアン,5.5,7.3,5.7
32,カンチェンジュンガ,ママコチャ,トウシンマカオ,テイエムスパーダ,ショウナンザナドゥ,19.4,3.2,2.5
33,カムニャック,テレサ,セナスタイル,ビップデイジー,ミッキーマドンナ,2.9,20.0,40.2
34,エリキング,ショウヘイ,ジョバンニ,デルアヴァー,ライトトラック,2.7,2.5,4.6
35,レガレイラ,ドゥラドーレス,ヨーホーレイク,フェアエールング,ホーエリート,3.3,3.5,8.0
39,サトノレーヴ,レッドモンレーヴ,ウインカーネリアン,パンジャタワー,レイピア,3.5,67.0,19.4
40,クロワデュノール,メイショウタバル,ダノンデサイル,タガノデュード,セイウンハーデス,2.5,4.8,3.9
41,スターアニス,ギャラボーグ,ジッピーチューン,アイニードユー,アランカール,2.9,14.1,79.3
42,ロブチェン,リアライズシリウス,ライヒスアドラー,アスクエジンバラ,フォルテアンジェロ,4.0,6.2,23.4
43,クロワデュノール,ヴェルテンベルク,アドマイヤテラ,アクアヴァーナル,ヘデントール,1.8,208.4,3.0
44,ロデオドライブ,アスクイキゴミ,アドマイヤクワッズ,ローベルクランツ,ダイヤモンドノット,4.6,8.4,9.7
45,エンブロイダリー,カムニャック,クイーンズウォーク,エリカエクスプレス,ココナッツブラウン,1.9,5.3,8.8
