id,race_date,race_place,race_number,race_grade,race_name,start_time,race_ground,race_distance,is_selected
2,2025-09-28,中山,11,G1,スプリンターズS,15:45,芝,1200,1
3,2025-10-05,東京,11,G2,毎日王冠,15:40,芝,1800,1
4,2025-10-05,京都,11,G2,京都大賞典,15:40,芝,2400,1
5,2025-10-12,東京,11,G2,アイルランドT,15:40,芝,1800,1
6,2025-10-19,京都,11,G1,秋華賞,15:40,芝,2000,1
7,2025-10-25,京都,11,G1,菊花賞,15:40,芝,3000,1
8,2025-11-02,東京,11,G1,天皇賞（秋）,15:40,芝,2000,1
9,2025-11-09,東京,11,G2,アルゼンチン共和国杯,15:40,芝,2500,1
10,2025-11-16,京都,11,G1,エリザベス女王杯,15:40,芝,2200,1
11,2025-11-23,京都,11,G1,マイルチャンピオンシップ,15:40,芝,1600,1
12,2025-11-30,東京,11,G1,ジャパンカップ,15:40,芝,2400,1
13,2025-12-07,中京,11,G1,チャンピオンC,15:40,ダ,1800,1
14,2025-12-14,阪神,11,G1,阪神ジュベナイルフィリーズ,15:40,芝,1600,1
15,2025-12-21,阪神,11,G1,朝日杯フューチュリティS,15:40,芝,1600,1
16,2025-12-27,中山,11,G1,ホープフルS,15:40,芝,2000,1
17,2025-12-28,中山,11,G1,有馬記念,15:40,芝,2500,1
24,2025-06-15,阪神,11,G1,宝塚記念,15:40,芝,2200,0
25,2025-06-22,阪神,11,G3,しらさぎS,15:35,芝,1600,0
26,2025-06-29,福島,11,G3,ラジオNIKKEI賞,15:45,芝,1800,0
29,2025-08-03,新潟,7,G3,アイビスSD,15:45,芝,1000,0
30,2025-08-17,札幌,11,G2,札幌記念,15:45,芝,2000,0
31,2025-08-24,札幌,11,G3,キーンランドC,15:35,芝,1200,0
32,2025-09-07,阪神,11,G2,セントウルS,15:35,芝,1200,0
33,2025-09-14,阪神,11,G2,ローズS,15:45,芝,1800,0
34,2025-09-21,阪神,11,G2,神戸新聞杯,15:30,芝,2400,0
35,2025-09-21,中山,11,G2,オールカマー,15:45,芝,2200,0
39,2026-03-29,中京,11,G1,高松宮記念,15:40,芝,1200,1
40,2026-04-05,阪神,11,G1,大阪杯,15:40,芝,2000,1
41,2026-04-12,阪神,11,G1,桜花賞,15:40,芝,1600,1
42,2026-04-19,中山,11,G1,皐月賞,15:40,芝,2000,1
43,2026-05-03,京都,11,G1,天皇賞（春）,15:40,芝,3200,1
44,2026-05-10,東京,11,G1,NHKマイルC,15:40,芝,1600,1
45,2026-05-17,東京,11,G1,ヴィクトリアマイル,15:40,芝,1600,1
46,2026-05-24,東京,11,G1,オークス,15:40,芝,2400,1
47,2026-05-31,東京,11,G1,日本ダービー,15:40,芝,2400,1
