id,race_id,username,honmeiba,honmeiba_rank,honmeiba_odds,score
2,29,マヨ,モズメイメイ,0,,0
6,29,ミギー,カルロヴェローチェ,4,,0
7,29,めーから,クムシラコ,0,,0
10,29,みやけん,エランティス,0,,0
11,29,すてるべん,スコーピオン,0,,0
12,29,あき,コラソンビート,0,,0
14,29,うえの,カフジテトラゴン,0,,0
15,29,ハチメ,キタノブレイド,0,,0
16,29,あお,デュガ,5,,0
17,29,そのだ,ブーケファロス,0,,0
18,29,みーちん,ウイングレイテスト,3,24.5,24
19,30,すてるべん,ステレンボッシュ,0,,0
20,30,あき,ホウオウビスケッツ,0,,0
21,30,マヨ,コスモキュランダ,0,,0
22,30,ゆーご,トップナイフ,1,25.6,256
23,30,みやけん,トップナイフ,1,25.6,256
26,30,ハチメ,リビアングラス,0,,0
27,30,あお,アラタ,3,134.5,134
28,30,うえの,コスモキュランダ,0,,0
29,31,みやけん,ウインカーネリアン,5,,0
30,31,そのだ,フィオライア,0,,0
31,31,あお,ゾンニッヒ,0,,0
33,31,あき,パンジャタワー,1,5.5,55
34,31,すてるべん,レイピア,0,,0
35,31,マヨ,レイピア,0,,0
36,31,ゆーご,ナムラクララ,4,,0
37,31,うえの,モリノドリーム,0,,0
38,31,めーから,ペアポルックス,2,7.3,22
39,31,ミギー,クファシル,0,,0
40,31,ハチメ,エーティーマクフィ,0,,0
41,32,マヨ,ママコチャ,2,3.2,10
42,32,ゆーご,ママコチャ,2,3.2,10
43,32,あお,ショウナンザナドゥ,5,,0
44,32,そのだ,テイエムスパーダ,4,,0
45,32,あき,テイエムスパーダ,4,,0
46,32,ハチメ,ジャスティンスカイ,0,,0
47,32,すてるべん,エコロジーク,0,,0
48,32,うえの,トウシンマカオ,3,2.5,2
51,32,ミギー,レッドアヴァンティ,0,,0
52,33,めーから,カムニャック,1,2.9,29
53,33,マヨ,テレサ,2,20.0,60
54,33,あき,カムニャック,1,2.9,29
55,33,みやけん,チェルビアット,0,,0
56,33,ゆーご,マトラコーニッシュ,0,,0
57,33,ミギー,タガノアビー,0,,0
58,33,あお,ミッキーマドンナ,5,,0
59,33,すてるべん,ビップデイジー,4,,0
60,33,ハチメ,ミッキージュエリー,0,,0
61,33,そのだ,ミッキージュエリー,0,,0
62,33,うえの,チェルビアット,0,,0
63,34,マヨ,ショウヘイ,2,2.5,8
64,34,みやけん,エリキング,1,2.7,27
65,35,みやけん,フェアエールング,4,,0
66,35,マヨ,コスモキュランダ,0,,0
67,34,みーちん,サンライズバブル,0,,0
68,35,みーちん,ワイドエンペラー,0,,0
69,34,あき,パッションリッチ,0,,0
70,35,あき,ドゥラドーレス,2,3.5,10
71,34,ゆーご,ライトトラック,5,,0
72,34,めーから,アルマデオロ,0,,0
74,35,ミギー,シュバルツクーゲル,0,,0
75,35,うえの,コスモキュランダ,0,,0
76,34,うえの,エリキング,1,2.7,27
77,35,あお,クロミナンス,0,,0
78,34,ハチメ,ジョイボーイ,0,,0
79,34,ミギー,デルアヴァー,4,,0
80,34,すてるべん,ジョバンニ,3,4.6,5
81,35,すてるべん,ドゥラドーレス,2,3.5,10
82,34,あお,エリキング,1,2.7,27
83,2,マヨ,ママコチャ,0,,0
84,2,めーから,ナムラクレア,3,5.7,6
85,2,うえの,トウシンマカオ,0,,0
86,2,すてるべん,ヨシノイースター,5,,0
90,2,あき,サトノレーヴ,4,,0
91,2,あお,ピューロマジック,0,,0
92,2,ハチメ,カンチェンジュンガ,0,,0
93,2,みやけん,ママコチャ,0,,0
94,2,ゆーご,ジューンブレア,2,20.2,61
95,3,うえの,レーベンスティール,1,7.7,77
96,4,うえの,サンライズアース,2,5.3,16
97,4,マヨ,プラダリア,0,,0
98,3,マヨ,エルトンバローズ,5,,0
99,4,ゆーご,ブレイヴロッカー,0,,0
100,3,みやけん,ロングラン,0,,0
101,4,みやけん,ショウナンラプンタ,5,,0
102,3,あお,ホウオウビスケッツ,2,4.3,13
103,3,めーから,ホウオウビスケッツ,2,4.3,13
104,4,めーから,ボルドグフーシュ,0,,0
105,4,あき,ドゥレッツア,0,,0
106,4,ハチメ,ボルドグフーシュ,0,,0
107,3,あき,ディマイザキッド,4,,0
108,5,マヨ,ボンドガール,0,,0
109,5,ゆーご,ライラック,4,,0
110,5,みやけん,ラヴァンダ,1,7.0,70
111,5,あき,アンゴラブラック,2,13.2,40
112,5,すてるべん,ドゥアイズ,0,,0
113,5,ハチメ,ホウオウラスカーズ,0,,0
114,5,うえの,アドマイヤマツリ,0,,0
115,6,うえの,テレサ,0,,0
116,6,めーから,ビップデイジー,0,,0
118,6,すてるべん,レーゼドラマ,0,,0
119,6,あき,エンブロイダリー,1,5.5,55
120,6,みやけん,ビップデイジー,0,,0
121,6,マヨ,マピュース,0,,0
122,6,ゆーご,セナスタイル,5,,0
123,7,あき,エネルジコ,1,3.8,38
124,7,めーから,エネルジコ,1,3.8,38
125,7,マヨ,ゲルチュタール,4,,0
126,7,みやけん,エリキング,2,4.3,13
127,7,すてるべん,ライトトラック,0,,0
128,7,うえの,マイユニバース,0,,0
129,7,ハチメ,エリキング,2,4.3,13
130,8,マヨ,ジャスティンパレス,3,20.4,20
131,8,すてるべん,マスカレードボール,1,2.7,27
132,8,みやけん,メイショウタバル,0,,0
133,8,あき,メイショウタバル,0,,0
135,8,うえの,ホウオウビスケッツ,0,,0
136,8,ゆーご,ソールオリエンス,0,,0
137,8,めーから,ジャスティンパレス,3,20.4,20
138,8,ハチメ,ジャスティンパレス,3,20.4,20
140,8,ミギー,タスティエーラ,0,,0
141,9,マヨ,プラダリア,0,,0
142,9,みやけん,マイネルカンパーナ,0,,0
143,9,ゆーご,ギャラクシーナイト,0,,0
144,10,めーから,リンクスティップ,4,,0
145,10,みやけん,ココナッツブラウン,5,,0
146,10,あき,エリカエクスプレス,0,,0
147,10,マヨ,オーロラエックス,0,,0
148,10,ゆーご,レガレイラ,1,2.3,23
149,10,すてるべん,ライラック,3,32.7,33
150,10,うえの,パラディレーヌ,2,10.0,30
151,10,ハチメ,レガレイラ,1,2.3,23
152,11,マヨ,ガイアフォース,2,8.6,26
153,11,みやけん,ソウルラッシュ,0,,0
154,11,あき,ソウルラッシュ,0,,0
155,11,ゆーご,トウシンマカオ,0,,0
156,11,うえの,アスコリピチェーノ,0,,0
157,11,ミギー,ウォーターリヒト,3,130.2,130
158,11,めーから,ラヴァンダ,0,,0
159,12,マヨ,ジャスティンパレス,5,,0
160,12,みやけん,ダノンデサイル,3,5.0,5
161,12,うえの,カランダガン,1,6.2,62
162,12,ゆーご,シンエンペラー,0,,0
163,12,めーから,ブレイディヴェーグ,0,,0
165,12,あき,マスカレードボール,2,2.5,8
166,12,すてるべん,ドゥレッツァ,0,,0
167,13,マヨ,ウィルソンテソーロ,2,7.3,22
168,13,みやけん,ハギノアレグリアス,0,,0
169,13,うえの,メイショウハリオ,4,,0
170,13,すてるべん,ナルカミ,0,,0
171,13,あき,シックスペンス,0,,0
172,13,ゆーご,ウィリアムバローズ,0,,0
173,13,ハチメ,ヘリオス,0,,0
174,14,マヨ,ギャラボーグ,2,7.2,22
175,14,ゆーご,フロムレイブン,0,,0
176,14,めーから,アルバンヌ,0,,0
177,14,ハチメ,ヒズマスターピース,0,,0
178,15,マヨ,アドマイヤクワッズ,3,3.1,3
179,15,すてるべん,リアライズシリウス,5,,0
180,15,うえの,ダイヤモンドノット,2,8.3,25
181,15,ゆーご,タガノアラリア,0,,0
182,15,みやけん,カヴァレリッツォ,1,3.6,36
183,17,マヨ,ジャスティンパレス,0,,0
184,16,うえの,ジャスティンビスタ,0,,0
185,16,マヨ,ショウナンガルフ,0,,0
186,16,みやけん,アンドゥーリル,0,,0
187,16,すてるべん,マテンロウゼロ,0,,0
188,17,すてるべん,サンライズジパング,5,,0
189,16,ゆーご,メイショウハチコウ,0,,0
190,17,ゆーご,レガレイラ,4,,0
191,16,あき,ロブチェン,1,19.8,198
192,17,あき,メイショウタバル,0,,0
193,16,ハチメ,ウイナーズナイン,0,,0
194,17,うえの,メイショウタバル,0,,0
195,17,みやけん,ダノンデサイル,3,3.8,4
196,17,ハチメ,タスティエーラ,0,,0
197,39,マヨ,サトノレーヴ,1,3.5,35
198,39,ゆーご,パンジャタワー,4,,0
199,39,みやけん,パンジャタワー,4,,0
200,39,すてるべん,レイピア,5,,0
203,39,うえの,ママコチャ,0,,0
204,39,ハチメ,ペアポルックス,0,,0
205,39,そのだ,ナムラクレア,0,,0
212,39,あき,インビジブルパパ,0,,0
213,40,マヨ,ダノンデサイル,3,3.9,4
214,40,すてるべん,エコロヴァルツ,0,,0
215,40,みやけん,ダノンデサイル,3,3.9,4
216,40,ゆーご,メイショウタバル,2,4.8,14
217,40,あき,エコロディノス,0,,0
218,40,めーから,ショウヘイ,0,,0
219,40,そのだ,ヨーホーレイク,0,,0
222,40,ハチメ,マテンロウレオ,0,,0
223,40,うえの,レーベンスティール,0,,0
224,41,マヨ,ドリームコア,0,,0
225,41,ミギー,ショウナンカリス,0,,0
226,41,あき,アランカール,5,,0
227,41,めーから,ギャラボーグ,2,14.1,42
228,41,ハチメ,ロンギングセリーヌ,0,,0
229,41,そのだ,スターアニス,1,2.9,29
230,42,ハチメ,マテンロウゲイル,0,,0
231,42,めーから,フォルテアンジェロ,0,,0
232,42,あき,パントルナイーフ,0,,0
233,42,うえの,アスクエジンバラ,0,,0
234,42,みやけん,バステール,0,,0
235,43,マヨ,ヘデントール,5,,0
236,43,そのだ,クロワデュノール,1,1.8,18
237,43,みやけん,タガノデュード,0,,0
238,44,マヨ,カヴァレリッツォ,0,,0
239,44,みやけん,ロデオドライブ,1,4.6,46
240,44,あき,ダイヤモンドノット,5,,0
241,45,マヨ,チェルヴィニア,0,,0
242,45,ハチメ,アイサンサン,0,,0
243,45,あき,エリカエクスプレス,0,,0
244,45,みやけん,カナテープ,0,,0
